Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1856,0.145238,50.6402809,4.6667145
Norway,1856,0.087705,61.1529386,8.7876653
Scotland,1856,0.116454,56.7861112,-4.1140518
Iceland,1856,0.255722,64.9841821,-18.1059013
England and Wales,1856,0.143572,51.5742454,-2.6999204
France,1856,0.166029,46.603354,1.8883335
Netherlands,1856,0.207442,52.2434979,5.6343227
Denmark,1856,0.12053,55.670249,10.3333283
Sweden,1856,0.144688,59.6749712,14.5208584
England and Wales,1856,0.143572,51.5742454,-2.6999204
France,1856,0.166022,46.603354,1.8883335
