Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1940,0.137274,39.6621648,-8.1353519
United Kingdom,1940,0.052567,54.7023545,-3.2765753
Belgium,1940,0.078113,50.6402809,4.6667145
Switzerland,1940,0.041321,46.7985624,8.2319736
Norway,1940,0.032123,61.1529386,8.7876653
Australia,1940,0.035285,-24.7761086,134.755
Scotland,1940,0.067414,56.7861112,-4.1140518
Spain,1940,0.153481,39.3260685,-4.8379791
Northern Ireland,1940,0.079253,54.5859836,-6.9591554
Iceland,1940,0.029861,64.9841821,-18.1059013
England and Wales,1940,0.049407,51.5742454,-2.6999204
France,1940,0.082667,46.603354,1.8883335
Netherlands,1940,0.03522,52.2434979,5.6343227
New Zealand -- Non-Maori,1940,0.028064,,
Denmark,1940,0.04573,55.670249,10.3333283
The United States of America,1940,0.046847,35.4202289,-78.0254279
Sweden,1940,0.034273,59.6749712,14.5208584
England and Wales,1940,0.049407,51.5742454,-2.6999204
Finland,1940,0.06994,63.2467777,25.9209164
Italy,1940,0.10123,42.6384261,12.674297
France,1940,0.082667,46.603354,1.8883335
Canada,1940,0.058902,61.0666922,-107.991707
