Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1897,0.156514,50.6402809,4.6667145
Switzerland,1897,0.143128,46.7985624,8.2319736
Norway,1897,0.082869,61.1529386,8.7876653
Scotland,1897,0.135097,56.7861112,-4.1140518
Iceland,1897,0.139057,64.9841821,-18.1059013
England and Wales,1897,0.154417,51.5742454,-2.6999204
France,1897,0.149501,46.603354,1.8883335
Netherlands,1897,0.159662,52.2434979,5.6343227
Denmark,1897,0.123264,55.670249,10.3333283
Sweden,1897,0.093693,59.6749712,14.5208584
England and Wales,1897,0.154417,51.5742454,-2.6999204
Finland,1897,0.126829,63.2467777,25.9209164
Italy,1897,0.173795,42.6384261,12.674297
France,1897,0.149501,46.603354,1.8883335
