Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1898,0.164406,50.6402809,4.6667145
Switzerland,1898,0.152911,46.7985624,8.2319736
Norway,1898,0.077582,61.1529386,8.7876653
Scotland,1898,0.133218,56.7861112,-4.1140518
Iceland,1898,0.156485,64.9841821,-18.1059013
England and Wales,1898,0.159864,51.5742454,-2.6999204
France,1898,0.170132,46.603354,1.8883335
Netherlands,1898,0.167607,52.2434979,5.6343227
Denmark,1898,0.121264,55.670249,10.3333283
Sweden,1898,0.08856,59.6749712,14.5208584
England and Wales,1898,0.159864,51.5742454,-2.6999204
Finland,1898,0.127034,63.2467777,25.9209164
Italy,1898,0.177465,42.6384261,12.674297
France,1898,0.170132,46.603354,1.8883335
