Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2016,0.002767,39.6621648,-8.1353519
Greece,2016,0.003339,38.9953683,21.9877132
Belarus,2016,0.002872,53.4250605,27.6971358
United Kingdom,2016,0.00356,54.7023545,-3.2765753
Poland,2016,0.003666,52.215933,19.134422
Belgium,2016,0.002343,50.6402809,4.6667145
Switzerland,2016,0.003788,46.7985624,8.2319736
West Germany,2016,0.003377,40.4203479,-79.1166983
Norway,2016,0.001974,61.1529386,8.7876653
Australia,2016,0.002762,-24.7761086,134.755
Scotland,2016,0.00325,56.7861112,-4.1140518
Lithuania,2016,0.004641,55.3500003,23.7499997
Hong Kong,2016,0.001967,22.2793278,114.1628131
Spain,2016,0.002262,39.3260685,-4.8379791
Croatia,2016,0.004383,45.3658443,15.6575209
Israel,2016,0.002901,30.8124247,34.8594762
Northern Ireland,2016,0.004939,54.5859836,-6.9591554
Iceland,2016,0.000503,64.9841821,-18.1059013
Austria,2016,0.00285,47.59397,14.12456
New Zealand,2016,0.003436,-41.5000831,172.8344077
England and Wales,2016,0.003536,51.5742454,-2.6999204
Taiwan,2016,0.003913,23.9739374,120.9820179
Hungary,2016,0.00366,47.1817585,19.5060937
France,2016,0.00324,46.603354,1.8883335
Netherlands,2016,0.003272,52.2434979,5.6343227
Germany,2016,0.003231,51.1638175,10.4478313
Luxembourg,2016,0.002336,49.8158683,6.1296751
Denmark,2016,0.002719,55.670249,10.3333283
The United States of America,2016,0.005332,35.4202289,-78.0254279
East Germany,2016,0.00261,43.0439394,-87.9081981
Latvia,2016,0.004069,56.8406494,24.7537645
Japan,2016,0.002007,36.5748441,139.2394179
Sweden,2016,0.002359,59.6749712,14.5208584
Chile,2016,0.006481,-31.7613365,-71.3187697
England and Wales,2016,0.003536,51.5742454,-2.6999204
Finland,2016,0.001534,63.2467777,25.9209164
Czechia,2016,0.002488,49.7439047,15.3381061
Italy,2016,0.002611,42.6384261,12.674297
Republic of Korea,2016,0.002556,36.638392,127.6961188
Slovenia,2016,0.002101,46.1199444,14.8153333
Bulgaria,2016,0.005248,42.6073975,25.4856617
Estonia,2016,0.001614,58.7523778,25.3319078
Slovakia,2016,0.004752,48.7411522,19.4528646
Ireland,2016,0.002759,52.865196,-7.9794599
France,2016,0.00324,46.603354,1.8883335
Canada,2016,0.004441,61.0666922,-107.991707
