Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1941,0.161907,39.6621648,-8.1353519
United Kingdom,1941,0.056805,54.7023545,-3.2765753
Belgium,1941,0.080896,50.6402809,4.6667145
Switzerland,1941,0.04053,46.7985624,8.2319736
Norway,1941,0.03534,61.1529386,8.7876653
Australia,1941,0.037427,-24.7761086,134.755
Scotland,1941,0.075486,56.7861112,-4.1140518
Spain,1941,0.154776,39.3260685,-4.8379791
Northern Ireland,1941,0.072082,54.5859836,-6.9591554
Iceland,1941,0.025985,64.9841821,-18.1059013
England and Wales,1941,0.053182,51.5742454,-2.6999204
France,1941,0.073705,46.603354,1.8883335
Netherlands,1941,0.037489,52.2434979,5.6343227
New Zealand -- Non-Maori,1941,0.02883,,
Denmark,1941,0.048618,55.670249,10.3333283
The United States of America,1941,0.046043,35.4202289,-78.0254279
Sweden,1941,0.035052,59.6749712,14.5208584
England and Wales,1941,0.053182,51.5742454,-2.6999204
Finland,1941,0.0676,63.2467777,25.9209164
Italy,1941,0.106219,42.6384261,12.674297
France,1941,0.073705,46.603354,1.8883335
Canada,1941,0.059192,61.0666922,-107.991707
