Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1869,0.131346,50.6402809,4.6667145
Norway,1869,0.096021,61.1529386,8.7876653
Scotland,1869,0.127686,56.7861112,-4.1140518
Iceland,1869,0.350728,64.9841821,-18.1059013
England and Wales,1869,0.154295,51.5742454,-2.6999204
France,1869,0.180436,46.603354,1.8883335
Netherlands,1869,0.209555,52.2434979,5.6343227
Denmark,1869,0.125274,55.670249,10.3333283
Sweden,1869,0.152683,59.6749712,14.5208584
England and Wales,1869,0.154295,51.5742454,-2.6999204
France,1869,0.180436,46.603354,1.8883335
