Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1866,0.173401,50.6402809,4.6667145
Norway,1866,0.089347,61.1529386,8.7876653
Scotland,1866,0.122199,56.7861112,-4.1140518
Iceland,1866,0.314943,64.9841821,-18.1059013
England and Wales,1866,0.159263,51.5742454,-2.6999204
France,1866,0.158827,46.603354,1.8883335
Netherlands,1866,0.216495,52.2434979,5.6343227
Denmark,1866,0.127782,55.670249,10.3333283
Sweden,1866,0.129589,59.6749712,14.5208584
England and Wales,1866,0.159263,51.5742454,-2.6999204
France,1866,0.158962,46.603354,1.8883335
