Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1906,0.159822,50.6402809,4.6667145
Switzerland,1906,0.123473,46.7985624,8.2319736
Norway,1906,0.059014,61.1529386,8.7876653
Scotland,1906,0.111975,56.7861112,-4.1140518
Iceland,1906,0.064319,64.9841821,-18.1059013
England and Wales,1906,0.129343,51.5742454,-2.6999204
France,1906,0.147062,46.603354,1.8883335
Netherlands,1906,0.14036,52.2434979,5.6343227
New Zealand -- Non-Maori,1906,0.057566,,
Denmark,1906,0.106697,55.670249,10.3333283
Sweden,1906,0.076661,59.6749712,14.5208584
England and Wales,1906,0.129343,51.5742454,-2.6999204
Finland,1906,0.119925,63.2467777,25.9209164
Italy,1906,0.16756,42.6384261,12.674297
France,1906,0.147062,46.603354,1.8883335
