Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1864,0.166771,50.6402809,4.6667145
Norway,1864,0.092843,61.1529386,8.7876653
Scotland,1864,0.127606,56.7861112,-4.1140518
Iceland,1864,0.265332,64.9841821,-18.1059013
England and Wales,1864,0.152032,51.5742454,-2.6999204
France,1864,0.17551,46.603354,1.8883335
Netherlands,1864,0.2121,52.2434979,5.6343227
Denmark,1864,0.153118,55.670249,10.3333283
Sweden,1864,0.139107,59.6749712,14.5208584
England and Wales,1864,0.152032,51.5742454,-2.6999204
France,1864,0.175581,46.603354,1.8883335
