Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1879,0.160468,50.6402809,4.6667145
Switzerland,1879,0.203445,46.7985624,8.2319736
Norway,1879,0.078447,61.1529386,8.7876653
Scotland,1879,0.105636,56.7861112,-4.1140518
Iceland,1879,0.147457,64.9841821,-18.1059013
England and Wales,1879,0.131405,51.5742454,-2.6999204
France,1879,0.158336,46.603354,1.8883335
Netherlands,1879,0.202698,52.2434979,5.6343227
Denmark,1879,0.133573,55.670249,10.3333283
Sweden,1879,0.112261,59.6749712,14.5208584
England and Wales,1879,0.131405,51.5742454,-2.6999204
Finland,1879,0.143074,63.2467777,25.9209164
Italy,1879,0.229414,42.6384261,12.674297
France,1879,0.158336,46.603354,1.8883335
