Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1963,0.070049,39.6621648,-8.1353519
Belarus,1963,0.028175,53.4250605,27.6971358
United Kingdom,1963,0.019448,54.7023545,-3.2765753
Poland,1963,0.043288,52.215933,19.134422
Belgium,1963,0.024518,50.6402809,4.6667145
Switzerland,1963,0.018249,46.7985624,8.2319736
West Germany,1963,0.024507,40.4203479,-79.1166983
Norway,1963,0.014456,61.1529386,8.7876653
Australia,1963,0.017459,-24.7761086,134.755
Scotland,1963,0.022868,56.7861112,-4.1140518
Lithuania,1963,0.030167,55.3500003,23.7499997
New Zealand -- Maori,1963,0.028993,-41.2086794,174.8683301
Spain,1963,0.03575,39.3260685,-4.8379791
Northern Ireland,1963,0.026063,54.5859836,-6.9591554
Iceland,1963,0.018326,64.9841821,-18.1059013
Austria,1963,0.02824,47.59397,14.12456
Russia,1963,0.027204,64.6863136,97.7453061
New Zealand,1963,0.017218,-41.5000831,172.8344077
England and Wales,1963,0.018786,51.5742454,-2.6999204
Hungary,1963,0.04046,47.1817585,19.5060937
France,1963,0.022653,46.603354,1.8883335
Netherlands,1963,0.013291,52.2434979,5.6343227
Ukraine,1963,0.021079,49.4871968,31.2718321
New Zealand -- Non-Maori,1963,0.015581,,
Luxembourg,1963,0.023255,49.8158683,6.1296751
Denmark,1963,0.016546,55.670249,10.3333283
The United States of America,1963,0.02208,35.4202289,-78.0254279
East Germany,1963,0.027744,43.0439394,-87.9081981
Latvia,1963,0.020915,56.8406494,24.7537645
Japan,1963,0.021167,36.5748441,139.2394179
Sweden,1963,0.013674,59.6749712,14.5208584
England and Wales,1963,0.018786,51.5742454,-2.6999204
Finland,1963,0.016736,63.2467777,25.9209164
Czechia,1963,0.018419,49.7439047,15.3381061
Italy,1963,0.037565,42.6384261,12.674297
Bulgaria,1963,0.032704,42.6073975,25.4856617
Estonia,1963,0.022854,58.7523778,25.3319078
Slovakia,1963,0.023761,48.7411522,19.4528646
Ireland,1963,0.023349,52.865196,-7.9794599
France,1963,0.022653,46.603354,1.8883335
Canada,1963,0.023079,61.0666922,-107.991707
