Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1861,0.164273,50.6402809,4.6667145
Norway,1861,0.110748,61.1529386,8.7876653
Scotland,1861,0.113246,56.7861112,-4.1140518
Iceland,1861,0.297044,64.9841821,-18.1059013
England and Wales,1861,0.148742,51.5742454,-2.6999204
France,1861,0.185784,46.603354,1.8883335
Netherlands,1861,0.231056,52.2434979,5.6343227
Denmark,1861,0.120625,55.670249,10.3333283
Sweden,1861,0.132503,59.6749712,14.5208584
England and Wales,1861,0.148742,51.5742454,-2.6999204
France,1861,0.185733,46.603354,1.8883335
