Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1991,0.009559,39.6621648,-8.1353519
Greece,1991,0.008507,38.9953683,21.9877132
Belarus,1991,0.010085,53.4250605,27.6971358
United Kingdom,1991,0.006349,54.7023545,-3.2765753
Poland,1991,0.016017,52.215933,19.134422
Belgium,1991,0.007354,50.6402809,4.6667145
Switzerland,1991,0.005405,46.7985624,8.2319736
West Germany,1991,0.005851,40.4203479,-79.1166983
Norway,1991,0.005711,61.1529386,8.7876653
Australia,1991,0.006038,-24.7761086,134.755
Scotland,1991,0.005435,56.7861112,-4.1140518
Lithuania,1991,0.012857,55.3500003,23.7499997
Hong Kong,1991,0.006416,22.2793278,114.1628131
New Zealand -- Maori,1991,0.010838,-41.2086794,174.8683301
Spain,1991,0.006436,39.3260685,-4.8379791
Israel,1991,0.008521,30.8124247,34.8594762
Northern Ireland,1991,0.006495,54.5859836,-6.9591554
Iceland,1991,0.005266,64.9841821,-18.1059013
Austria,1991,0.00669,47.59397,14.12456
Russia,1991,0.014569,64.6863136,97.7453061
New Zealand,1991,0.006763,-41.5000831,172.8344077
England and Wales,1991,0.006429,51.5742454,-2.6999204
Taiwan,1991,0.005064,23.9739374,120.9820179
Hungary,1991,0.013976,47.1817585,19.5060937
France,1991,0.006224,46.603354,1.8883335
Netherlands,1991,0.005264,52.2434979,5.6343227
Ukraine,1991,0.011954,49.4871968,31.2718321
Germany,1991,0.00569,51.1638175,10.4478313
New Zealand -- Non-Maori,1991,0.006268,,
Luxembourg,1991,0.009142,49.8158683,6.1296751
Denmark,1991,0.006507,55.670249,10.3333283
The United States of America,1991,0.008151,35.4202289,-78.0254279
East Germany,1991,0.004867,43.0439394,-87.9081981
Latvia,1991,0.012249,56.8406494,24.7537645
Japan,1991,0.004254,36.5748441,139.2394179
Sweden,1991,0.005618,59.6749712,14.5208584
England and Wales,1991,0.006429,51.5742454,-2.6999204
Finland,1991,0.005155,63.2467777,25.9209164
Czechia,1991,0.009005,49.7439047,15.3381061
Italy,1991,0.007534,42.6384261,12.674297
Slovenia,1991,0.005677,46.1199444,14.8153333
Bulgaria,1991,0.014179,42.6073975,25.4856617
Estonia,1991,0.010852,58.7523778,25.3319078
Slovakia,1991,0.012288,48.7411522,19.4528646
Ireland,1991,0.006561,52.865196,-7.9794599
France,1991,0.006224,46.603354,1.8883335
Canada,1991,0.005789,61.0666922,-107.991707
