Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1883,0.154195,50.6402809,4.6667145
Switzerland,1883,0.167727,46.7985624,8.2319736
Norway,1883,0.086187,61.1529386,8.7876653
Scotland,1883,0.116165,56.7861112,-4.1140518
Iceland,1883,0.312464,64.9841821,-18.1059013
England and Wales,1883,0.133256,51.5742454,-2.6999204
France,1883,0.16449,46.603354,1.8883335
Netherlands,1883,0.201383,52.2434979,5.6343227
Denmark,1883,0.137373,55.670249,10.3333283
Sweden,1883,0.112535,59.6749712,14.5208584
England and Wales,1883,0.133256,51.5742454,-2.6999204
Finland,1883,0.152425,63.2467777,25.9209164
Italy,1883,0.213388,42.6384261,12.674297
France,1883,0.16449,46.603354,1.8883335
