Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1854,0.153999,50.6402809,4.6667145
Norway,1854,0.086141,61.1529386,8.7876653
Iceland,1854,0.245815,64.9841821,-18.1059013
England and Wales,1854,0.157443,51.5742454,-2.6999204
France,1854,0.180665,46.603354,1.8883335
Netherlands,1854,0.205449,52.2434979,5.6343227
Denmark,1854,0.169666,55.670249,10.3333283
Sweden,1854,0.13624,59.6749712,14.5208584
England and Wales,1854,0.157443,51.5742454,-2.6999204
France,1854,0.180665,46.603354,1.8883335
