Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2008,0.003118,39.6621648,-8.1353519
Greece,2008,0.002543,38.9953683,21.9877132
Belarus,2008,0.003726,53.4250605,27.6971358
United Kingdom,2008,0.004242,54.7023545,-3.2765753
Poland,2008,0.005078,52.215933,19.134422
Belgium,2008,0.00345,50.6402809,4.6667145
Switzerland,2008,0.003778,46.7985624,8.2319736
West Germany,2008,0.003187,40.4203479,-79.1166983
Norway,2008,0.002139,61.1529386,8.7876653
Australia,2008,0.00378,-24.7761086,134.755
Scotland,2008,0.003909,56.7861112,-4.1140518
Lithuania,2008,0.00538,55.3500003,23.7499997
Hong Kong,2008,0.003031,22.2793278,114.1628131
New Zealand -- Maori,2008,0.005195,-41.2086794,174.8683301
Spain,2008,0.003047,39.3260685,-4.8379791
Croatia,2008,0.003494,45.3658443,15.6575209
Israel,2008,0.00339,30.8124247,34.8594762
Northern Ireland,2008,0.004953,54.5859836,-6.9591554
Iceland,2008,0.002173,64.9841821,-18.1059013
Austria,2008,0.00301,47.59397,14.12456
Russia,2008,0.00772,64.6863136,97.7453061
New Zealand,2008,0.003834,-41.5000831,172.8344077
England and Wales,2008,0.004245,51.5742454,-2.6999204
Taiwan,2008,0.00468,23.9739374,120.9820179
Hungary,2008,0.005037,47.1817585,19.5060937
France,2008,0.003405,46.603354,1.8883335
Netherlands,2008,0.003594,52.2434979,5.6343227
Ukraine,2008,0.009212,49.4871968,31.2718321
Germany,2008,0.003084,51.1638175,10.4478313
New Zealand -- Non-Maori,2008,0.003488,,
Luxembourg,2008,0.001832,49.8158683,6.1296751
Denmark,2008,0.003631,55.670249,10.3333283
The United States of America,2008,0.006143,35.4202289,-78.0254279
East Germany,2008,0.002563,43.0439394,-87.9081981
Latvia,2008,0.005276,56.8406494,24.7537645
Japan,2008,0.002483,36.5748441,139.2394179
Sweden,2008,0.002477,59.6749712,14.5208584
Chile,2008,0.00755,-31.7613365,-71.3187697
England and Wales,2008,0.004245,51.5742454,-2.6999204
Finland,2008,0.002177,63.2467777,25.9209164
Czechia,2008,0.002389,49.7439047,15.3381061
Italy,2008,0.003062,42.6384261,12.674297
Republic of Korea,2008,0.003285,36.638392,127.6961188
Slovenia,2008,0.002177,46.1199444,14.8153333
Bulgaria,2008,0.008284,42.6073975,25.4856617
Estonia,2008,0.00438,58.7523778,25.3319078
Slovakia,2008,0.005232,48.7411522,19.4528646
Ireland,2008,0.003444,52.865196,-7.9794599
France,2008,0.003405,46.603354,1.8883335
Canada,2008,0.00471,61.0666922,-107.991707
