Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1987,0.012661,39.6621648,-8.1353519
Greece,1987,0.01091,38.9953683,21.9877132
Belarus,1987,0.011316,53.4250605,27.6971358
United Kingdom,1987,0.008014,54.7023545,-3.2765753
Poland,1987,0.018441,52.215933,19.134422
Belgium,1987,0.008215,50.6402809,4.6667145
Switzerland,1987,0.006302,46.7985624,8.2319736
West Germany,1987,0.007261,40.4203479,-79.1166983
Norway,1987,0.007823,61.1529386,8.7876653
Australia,1987,0.007924,-24.7761086,134.755
Scotland,1987,0.007215,56.7861112,-4.1140518
Lithuania,1987,0.011287,55.3500003,23.7499997
Hong Kong,1987,0.006512,22.2793278,114.1628131
New Zealand -- Maori,1987,0.011668,-41.2086794,174.8683301
Spain,1987,0.007457,39.3260685,-4.8379791
Israel,1987,0.009761,30.8124247,34.8594762
Northern Ireland,1987,0.007803,54.5859836,-6.9591554
Iceland,1987,0.008919,64.9841821,-18.1059013
Austria,1987,0.008923,47.59397,14.12456
Russia,1987,0.016273,64.6863136,97.7453061
New Zealand,1987,0.009577,-41.5000831,172.8344077
England and Wales,1987,0.008101,51.5742454,-2.6999204
Taiwan,1987,0.00511,23.9739374,120.9820179
Hungary,1987,0.01476,47.1817585,19.5060937
France,1987,0.0066,46.603354,1.8883335
Netherlands,1987,0.006485,52.2434979,5.6343227
Ukraine,1987,0.012236,49.4871968,31.2718321
New Zealand -- Non-Maori,1987,0.009181,,
Luxembourg,1987,0.008022,49.8158683,6.1296751
Denmark,1987,0.006529,55.670249,10.3333283
The United States of America,1987,0.009162,35.4202289,-78.0254279
East Germany,1987,0.007486,43.0439394,-87.9081981
Latvia,1987,0.00947,56.8406494,24.7537645
Japan,1987,0.004499,36.5748441,139.2394179
Sweden,1987,0.005633,59.6749712,14.5208584
England and Wales,1987,0.008101,51.5742454,-2.6999204
Finland,1987,0.005375,63.2467777,25.9209164
Czechia,1987,0.01023,49.7439047,15.3381061
Italy,1987,0.008847,42.6384261,12.674297
Slovenia,1987,0.01076,46.1199444,14.8153333
Bulgaria,1987,0.013483,42.6073975,25.4856617
Estonia,1987,0.015256,58.7523778,25.3319078
Slovakia,1987,0.01204,48.7411522,19.4528646
Ireland,1987,0.006714,52.865196,-7.9794599
France,1987,0.0066,46.603354,1.8883335
Canada,1987,0.006183,61.0666922,-107.991707
