Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1946,0.118043,39.6621648,-8.1353519
United Kingdom,1946,0.042868,54.7023545,-3.2765753
Belgium,1946,0.073033,50.6402809,4.6667145
Switzerland,1946,0.035449,46.7985624,8.2319736
Norway,1946,0.028914,61.1529386,8.7876653
Australia,1946,0.027821,-24.7761086,134.755
Scotland,1946,0.054082,56.7861112,-4.1140518
Spain,1946,0.086942,39.3260685,-4.8379791
Northern Ireland,1946,0.048793,54.5859836,-6.9591554
Iceland,1946,0.025282,64.9841821,-18.1059013
England and Wales,1946,0.040977,51.5742454,-2.6999204
France,1946,0.074621,46.603354,1.8883335
Netherlands,1946,0.041045,52.2434979,5.6343227
New Zealand -- Non-Maori,1946,0.024478,,
Denmark,1946,0.040765,55.670249,10.3333283
The United States of America,1946,0.037959,35.4202289,-78.0254279
Sweden,1946,0.023696,59.6749712,14.5208584
England and Wales,1946,0.040977,51.5742454,-2.6999204
Finland,1946,0.05053,63.2467777,25.9209164
Italy,1946,0.098005,42.6384261,12.674297
France,1946,0.074621,46.603354,1.8883335
Canada,1946,0.047556,61.0666922,-107.991707
