Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2002,0.004789,39.6621648,-8.1353519
Greece,2002,0.004259,38.9953683,21.9877132
Belarus,2002,0.006889,53.4250605,27.6971358
United Kingdom,2002,0.004524,54.7023545,-3.2765753
Poland,2002,0.006636,52.215933,19.134422
Belgium,2002,0.003725,50.6402809,4.6667145
Switzerland,2002,0.004202,46.7985624,8.2319736
West Germany,2002,0.003904,40.4203479,-79.1166983
Norway,2002,0.003591,61.1529386,8.7876653
Australia,2002,0.004713,-24.7761086,134.755
Scotland,2002,0.00411,56.7861112,-4.1140518
Lithuania,2002,0.007214,55.3500003,23.7499997
Hong Kong,2002,0.002545,22.2793278,114.1628131
New Zealand -- Maori,2002,0.006418,-41.2086794,174.8683301
Spain,2002,0.003645,39.3260685,-4.8379791
Croatia,2002,0.00633,45.3658443,15.6575209
Israel,2002,0.005188,30.8124247,34.8594762
Northern Ireland,2002,0.004647,54.5859836,-6.9591554
Iceland,2002,0.000993,64.9841821,-18.1059013
Austria,2002,0.003508,47.59397,14.12456
Russia,2002,0.012117,64.6863136,97.7453061
New Zealand,2002,0.005313,-41.5000831,172.8344077
England and Wales,2002,0.004555,51.5742454,-2.6999204
Taiwan,2002,0.005629,23.9739374,120.9820179
Hungary,2002,0.007204,47.1817585,19.5060937
France,2002,0.003732,46.603354,1.8883335
Netherlands,2002,0.0045,52.2434979,5.6343227
Ukraine,2002,0.008995,49.4871968,31.2718321
Germany,2002,0.003868,51.1638175,10.4478313
New Zealand -- Non-Maori,2002,0.004867,,
Luxembourg,2002,0.004576,49.8158683,6.1296751
Denmark,2002,0.003967,55.670249,10.3333283
The United States of America,2002,0.006349,35.4202289,-78.0254279
East Germany,2002,0.003656,43.0439394,-87.9081981
Latvia,2002,0.008943,56.8406494,24.7537645
Japan,2002,0.00282,36.5748441,139.2394179
Sweden,2002,0.003103,59.6749712,14.5208584
Chile,2002,0.007515,-31.7613365,-71.3187697
England and Wales,2002,0.004555,51.5742454,-2.6999204
Finland,2002,0.002882,63.2467777,25.9209164
Czechia,2002,0.003811,49.7439047,15.3381061
Italy,2002,0.003972,42.6384261,12.674297
Slovenia,2002,0.00271,46.1199444,14.8153333
Bulgaria,2002,0.012417,42.6073975,25.4856617
Estonia,2002,0.004439,58.7523778,25.3319078
Slovakia,2002,0.008147,48.7411522,19.4528646
Ireland,2002,0.004924,52.865196,-7.9794599
France,2002,0.003732,46.603354,1.8883335
Canada,2002,0.004898,61.0666922,-107.991707
