Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1880,0.192075,50.6402809,4.6667145
Switzerland,1880,0.190865,46.7985624,8.2319736
Norway,1880,0.086671,61.1529386,8.7876653
Scotland,1880,0.123997,56.7861112,-4.1140518
Iceland,1880,0.177806,64.9841821,-18.1059013
England and Wales,1880,0.147837,51.5742454,-2.6999204
France,1880,0.171845,46.603354,1.8883335
Netherlands,1880,0.233948,52.2434979,5.6343227
Denmark,1880,0.156025,55.670249,10.3333283
Sweden,1880,0.116951,59.6749712,14.5208584
England and Wales,1880,0.147837,51.5742454,-2.6999204
Finland,1880,0.164321,63.2467777,25.9209164
Italy,1880,0.236798,42.6384261,12.674297
France,1880,0.171845,46.603354,1.8883335
