Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1997,0.006007,39.6621648,-8.1353519
Greece,1997,0.006114,38.9953683,21.9877132
Belarus,1997,0.010176,53.4250605,27.6971358
United Kingdom,1997,0.005228,54.7023545,-3.2765753
Poland,1997,0.009191,52.215933,19.134422
Belgium,1997,0.005086,50.6402809,4.6667145
Switzerland,1997,0.004687,46.7985624,8.2319736
West Germany,1997,0.004285,40.4203479,-79.1166983
Norway,1997,0.003695,61.1529386,8.7876653
Australia,1997,0.005156,-24.7761086,134.755
Scotland,1997,0.00451,56.7861112,-4.1140518
Lithuania,1997,0.008671,55.3500003,23.7499997
Hong Kong,1997,0.003462,22.2793278,114.1628131
New Zealand -- Maori,1997,0.009827,-41.2086794,174.8683301
Spain,1997,0.004511,39.3260685,-4.8379791
Israel,1997,0.006398,30.8124247,34.8594762
Northern Ireland,1997,0.005847,54.5859836,-6.9591554
Iceland,1997,0.002889,64.9841821,-18.1059013
Austria,1997,0.004568,47.59397,14.12456
Russia,1997,0.01453,64.6863136,97.7453061
New Zealand,1997,0.005865,-41.5000831,172.8344077
England and Wales,1997,0.00527,51.5742454,-2.6999204
Taiwan,1997,0.006748,23.9739374,120.9820179
Hungary,1997,0.008506,47.1817585,19.5060937
France,1997,0.004166,46.603354,1.8883335
Netherlands,1997,0.004539,52.2434979,5.6343227
Ukraine,1997,0.011628,49.4871968,31.2718321
Germany,1997,0.004267,51.1638175,10.4478313
New Zealand -- Non-Maori,1997,0.004455,,
Luxembourg,1997,0.005181,49.8158683,6.1296751
Denmark,1997,0.005001,55.670249,10.3333283
The United States of America,1997,0.00669,35.4202289,-78.0254279
East Germany,1997,0.004137,43.0439394,-87.9081981
Latvia,1997,0.014094,56.8406494,24.7537645
Japan,1997,0.003415,36.5748441,139.2394179
Sweden,1997,0.003047,59.6749712,14.5208584
Chile,1997,0.009528,-31.7613365,-71.3187697
England and Wales,1997,0.00527,51.5742454,-2.6999204
Finland,1997,0.003504,63.2467777,25.9209164
Czechia,1997,0.005427,49.7439047,15.3381061
Italy,1997,0.005075,42.6384261,12.674297
Slovenia,1997,0.004529,46.1199444,14.8153333
Bulgaria,1997,0.01491,42.6073975,25.4856617
Estonia,1997,0.010049,58.7523778,25.3319078
Slovakia,1997,0.007972,48.7411522,19.4528646
Ireland,1997,0.006302,52.865196,-7.9794599
France,1997,0.004166,46.603354,1.8883335
Canada,1997,0.004897,61.0666922,-107.991707
