Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1872,0.14811,50.6402809,4.6667145
Norway,1872,0.09298,61.1529386,8.7876653
Scotland,1872,0.125745,56.7861112,-4.1140518
Iceland,1872,0.449202,64.9841821,-18.1059013
England and Wales,1872,0.151806,51.5742454,-2.6999204
France,1872,0.172028,46.603354,1.8883335
Netherlands,1872,0.244998,52.2434979,5.6343227
Denmark,1872,0.130832,55.670249,10.3333283
Sweden,1872,0.126108,59.6749712,14.5208584
England and Wales,1872,0.151806,51.5742454,-2.6999204
Italy,1872,0.262955,42.6384261,12.674297
France,1872,0.172028,46.603354,1.8883335
