Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1951,0.091298,39.6621648,-8.1353519
United Kingdom,1951,0.026873,54.7023545,-3.2765753
Belgium,1951,0.044123,50.6402809,4.6667145
Switzerland,1951,0.02603,46.7985624,8.2319736
Norway,1951,0.020679,61.1529386,8.7876653
Australia,1951,0.022978,-24.7761086,134.755
Scotland,1951,0.032954,56.7861112,-4.1140518
New Zealand -- Maori,1951,0.064396,-41.2086794,174.8683301
Spain,1951,0.068805,39.3260685,-4.8379791
Northern Ireland,1951,0.039482,54.5859836,-6.9591554
Iceland,1951,0.025465,64.9841821,-18.1059013
Austria,1951,0.053886,47.59397,14.12456
New Zealand,1951,0.023439,-41.5000831,172.8344077
England and Wales,1951,0.025582,51.5742454,-2.6999204
Hungary,1951,0.077275,47.1817585,19.5060937
France,1951,0.044789,46.603354,1.8883335
Netherlands,1951,0.022431,52.2434979,5.6343227
New Zealand -- Non-Maori,1951,0.018981,,
Denmark,1951,0.024829,55.670249,10.3333283
The United States of America,1951,0.027885,35.4202289,-78.0254279
Japan,1951,0.052099,36.5748441,139.2394179
Sweden,1951,0.018481,59.6749712,14.5208584
England and Wales,1951,0.025951,51.5742454,-2.6999204
Finland,1951,0.03186,63.2467777,25.9209164
Czechia,1951,0.05237,49.7439047,15.3381061
Italy,1951,0.062706,42.6384261,12.674297
Bulgaria,1951,0.096671,42.6073975,25.4856617
Slovakia,1951,0.104257,48.7411522,19.4528646
Ireland,1951,0.039399,52.865196,-7.9794599
France,1951,0.044789,46.603354,1.8883335
Canada,1951,0.034731,61.0666922,-107.991707
