Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1908,0.151561,50.6402809,4.6667145
Switzerland,1908,0.102839,46.7985624,8.2319736
Norway,1908,0.065097,61.1529386,8.7876653
Scotland,1908,0.117644,56.7861112,-4.1140518
Spain,1908,0.159834,39.3260685,-4.8379791
Iceland,1908,0.164373,64.9841821,-18.1059013
England and Wales,1908,0.116634,51.5742454,-2.6999204
France,1908,0.133317,46.603354,1.8883335
Netherlands,1908,0.132156,52.2434979,5.6343227
New Zealand -- Non-Maori,1908,0.063852,,
Denmark,1908,0.119752,55.670249,10.3333283
Sweden,1908,0.08222,59.6749712,14.5208584
England and Wales,1908,0.116634,51.5742454,-2.6999204
Finland,1908,0.120216,63.2467777,25.9209164
Italy,1908,0.17982,42.6384261,12.674297
France,1908,0.133317,46.603354,1.8883335
