Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1996,0.006168,39.6621648,-8.1353519
Greece,1996,0.006561,38.9953683,21.9877132
Belarus,1996,0.010786,53.4250605,27.6971358
United Kingdom,1996,0.005425,54.7023545,-3.2765753
Poland,1996,0.010936,52.215933,19.134422
Belgium,1996,0.004536,50.6402809,4.6667145
Switzerland,1996,0.004077,46.7985624,8.2319736
West Germany,1996,0.004387,40.4203479,-79.1166983
Norway,1996,0.003594,61.1529386,8.7876653
Australia,1996,0.005056,-24.7761086,134.755
Scotland,1996,0.005547,56.7861112,-4.1140518
Lithuania,1996,0.009261,55.3500003,23.7499997
Hong Kong,1996,0.003428,22.2793278,114.1628131
New Zealand -- Maori,1996,0.011918,-41.2086794,174.8683301
Spain,1996,0.004715,39.3260685,-4.8379791
Israel,1996,0.006073,30.8124247,34.8594762
Northern Ireland,1996,0.005048,54.5859836,-6.9591554
Iceland,1996,0.003367,64.9841821,-18.1059013
Austria,1996,0.004833,47.59397,14.12456
Russia,1996,0.014764,64.6863136,97.7453061
New Zealand,1996,0.00668,-41.5000831,172.8344077
England and Wales,1996,0.005428,51.5742454,-2.6999204
Taiwan,1996,0.007078,23.9739374,120.9820179
Hungary,1996,0.009864,47.1817585,19.5060937
France,1996,0.004204,46.603354,1.8883335
Netherlands,1996,0.005114,52.2434979,5.6343227
Ukraine,1996,0.012217,49.4871968,31.2718321
Germany,1996,0.004469,51.1638175,10.4478313
New Zealand -- Non-Maori,1996,0.00484,,
Luxembourg,1996,0.005276,49.8158683,6.1296751
Denmark,1996,0.004712,55.670249,10.3333283
The United States of America,1996,0.006854,35.4202289,-78.0254279
East Germany,1996,0.005112,43.0439394,-87.9081981
Latvia,1996,0.015151,56.8406494,24.7537645
Japan,1996,0.00349,36.5748441,139.2394179
Sweden,1996,0.00361,59.6749712,14.5208584
Chile,1996,0.010705,-31.7613365,-71.3187697
England and Wales,1996,0.005428,51.5742454,-2.6999204
Finland,1996,0.00337,63.2467777,25.9209164
Czechia,1996,0.005702,49.7439047,15.3381061
Italy,1996,0.005883,42.6384261,12.674297
Slovenia,1996,0.003396,46.1199444,14.8153333
Bulgaria,1996,0.013301,42.6073975,25.4856617
Estonia,1996,0.008402,58.7523778,25.3319078
Slovakia,1996,0.00943,48.7411522,19.4528646
Ireland,1996,0.005663,52.865196,-7.9794599
France,1996,0.004204,46.603354,1.8883335
Canada,1996,0.00492,61.0666922,-107.991707
