Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1970,0.057848,39.6621648,-8.1353519
Belarus,1970,0.01615,53.4250605,27.6971358
United Kingdom,1970,0.016158,54.7023545,-3.2765753
Poland,1970,0.034305,52.215933,19.134422
Belgium,1970,0.018232,50.6402809,4.6667145
Switzerland,1970,0.013141,46.7985624,8.2319736
West Germany,1970,0.019691,40.4203479,-79.1166983
Norway,1970,0.009844,61.1529386,8.7876653
Australia,1970,0.016036,-24.7761086,134.755
Scotland,1970,0.016783,56.7861112,-4.1140518
Lithuania,1970,0.017641,55.3500003,23.7499997
New Zealand -- Maori,1970,0.024984,-41.2086794,174.8683301
Spain,1970,0.025175,39.3260685,-4.8379791
Northern Ireland,1970,0.019638,54.5859836,-6.9591554
Iceland,1970,0.009103,64.9841821,-18.1059013
Austria,1970,0.021801,47.59397,14.12456
Russia,1970,0.019367,64.6863136,97.7453061
New Zealand,1970,0.014954,-41.5000831,172.8344077
England and Wales,1970,0.015947,51.5742454,-2.6999204
Taiwan,1970,0.015389,23.9739374,120.9820179
Hungary,1970,0.031848,47.1817585,19.5060937
France,1970,0.016128,46.603354,1.8883335
Netherlands,1970,0.010556,52.2434979,5.6343227
Ukraine,1970,0.014864,49.4871968,31.2718321
New Zealand -- Non-Maori,1970,0.013451,,
Luxembourg,1970,0.021962,49.8158683,6.1296751
Denmark,1970,0.011206,55.670249,10.3333283
The United States of America,1970,0.018538,35.4202289,-78.0254279
East Germany,1970,0.016681,43.0439394,-87.9081981
Latvia,1970,0.013751,56.8406494,24.7537645
Japan,1970,0.011786,36.5748441,139.2394179
Sweden,1970,0.009693,59.6749712,14.5208584
England and Wales,1970,0.015947,51.5742454,-2.6999204
Finland,1970,0.012132,63.2467777,25.9209164
Czechia,1970,0.018197,49.7439047,15.3381061
Italy,1970,0.026579,42.6384261,12.674297
Bulgaria,1970,0.023212,42.6073975,25.4856617
Estonia,1970,0.014617,58.7523778,25.3319078
Slovakia,1970,0.022455,48.7411522,19.4528646
Ireland,1970,0.017826,52.865196,-7.9794599
France,1970,0.016128,46.603354,1.8883335
Canada,1970,0.016751,61.0666922,-107.991707
