Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1881,0.15903,50.6402809,4.6667145
Switzerland,1881,0.193542,46.7985624,8.2319736
Norway,1881,0.08776,61.1529386,8.7876653
Scotland,1881,0.113067,56.7861112,-4.1140518
Iceland,1881,0.279391,64.9841821,-18.1059013
England and Wales,1881,0.125852,51.5742454,-2.6999204
France,1881,0.161639,46.603354,1.8883335
Netherlands,1881,0.203375,52.2434979,5.6343227
Denmark,1881,0.121869,55.670249,10.3333283
Sweden,1881,0.111567,59.6749712,14.5208584
England and Wales,1881,0.125852,51.5742454,-2.6999204
Finland,1881,0.189866,63.2467777,25.9209164
Italy,1881,0.24421,42.6384261,12.674297
France,1881,0.161639,46.603354,1.8883335
