Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1888,0.172433,50.6402809,4.6667145
Switzerland,1888,0.15318,46.7985624,8.2319736
Norway,1888,0.086358,61.1529386,8.7876653
Scotland,1888,0.109857,56.7861112,-4.1140518
Iceland,1888,0.133186,64.9841821,-18.1059013
England and Wales,1888,0.133172,51.5742454,-2.6999204
France,1888,0.162132,46.603354,1.8883335
Netherlands,1888,0.191793,52.2434979,5.6343227
Denmark,1888,0.138966,55.670249,10.3333283
Sweden,1888,0.095833,59.6749712,14.5208584
England and Wales,1888,0.133172,51.5742454,-2.6999204
Finland,1888,0.147557,63.2467777,25.9209164
Italy,1888,0.210386,42.6384261,12.674297
France,1888,0.162132,46.603354,1.8883335
