Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2015,0.002496,39.6621648,-8.1353519
Greece,2015,0.003695,38.9953683,21.9877132
Belarus,2015,0.002675,53.4250605,27.6971358
United Kingdom,2015,0.00335,54.7023545,-3.2765753
Poland,2015,0.003649,52.215933,19.134422
Belgium,2015,0.0029,50.6402809,4.6667145
Switzerland,2015,0.003367,46.7985624,8.2319736
West Germany,2015,0.003275,40.4203479,-79.1166983
Norway,2015,0.002048,61.1529386,8.7876653
Australia,2015,0.002861,-24.7761086,134.755
Scotland,2015,0.002807,56.7861112,-4.1140518
Lithuania,2015,0.003717,55.3500003,23.7499997
Hong Kong,2015,0.001305,22.2793278,114.1628131
Spain,2015,0.002424,39.3260685,-4.8379791
Croatia,2015,0.003598,45.3658443,15.6575209
Israel,2015,0.002986,30.8124247,34.8594762
Northern Ireland,2015,0.004586,54.5859836,-6.9591554
Iceland,2015,0.002405,64.9841821,-18.1059013
Austria,2015,0.002898,47.59397,14.12456
New Zealand,2015,0.004292,-41.5000831,172.8344077
England and Wales,2015,0.003351,51.5742454,-2.6999204
Taiwan,2015,0.004108,23.9739374,120.9820179
Hungary,2015,0.003735,47.1817585,19.5060937
France,2015,0.003291,46.603354,1.8883335
Netherlands,2015,0.002951,52.2434979,5.6343227
Germany,2015,0.003125,51.1638175,10.4478313
Luxembourg,2015,0.001021,49.8158683,6.1296751
Denmark,2015,0.003578,55.670249,10.3333283
The United States of America,2015,0.005375,35.4202289,-78.0254279
East Germany,2015,0.002367,43.0439394,-87.9081981
Latvia,2015,0.002954,56.8406494,24.7537645
Japan,2015,0.001828,36.5748441,139.2394179
Sweden,2015,0.002075,59.6749712,14.5208584
Chile,2015,0.006029,-31.7613365,-71.3187697
England and Wales,2015,0.003351,51.5742454,-2.6999204
Finland,2015,0.001779,63.2467777,25.9209164
Czechia,2015,0.001932,49.7439047,15.3381061
Italy,2015,0.002652,42.6384261,12.674297
Republic of Korea,2015,0.002593,36.638392,127.6961188
Slovenia,2015,0.00148,46.1199444,14.8153333
Bulgaria,2015,0.005864,42.6073975,25.4856617
Estonia,2015,0.002528,58.7523778,25.3319078
Slovakia,2015,0.004523,48.7411522,19.4528646
Ireland,2015,0.003202,52.865196,-7.9794599
France,2015,0.003291,46.603354,1.8883335
Canada,2015,0.00429,61.0666922,-107.991707
