Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1968,0.057194,39.6621648,-8.1353519
Belarus,1968,0.016711,53.4250605,27.6971358
United Kingdom,1968,0.016267,54.7023545,-3.2765753
Poland,1968,0.029709,52.215933,19.134422
Belgium,1968,0.018635,50.6402809,4.6667145
Switzerland,1968,0.014644,46.7985624,8.2319736
West Germany,1968,0.019398,40.4203479,-79.1166983
Norway,1968,0.011992,61.1529386,8.7876653
Australia,1968,0.016067,-24.7761086,134.755
Scotland,1968,0.018374,56.7861112,-4.1140518
Lithuania,1968,0.017646,55.3500003,23.7499997
New Zealand -- Maori,1968,0.025048,-41.2086794,174.8683301
Spain,1968,0.028316,39.3260685,-4.8379791
Northern Ireland,1968,0.021329,54.5859836,-6.9591554
Iceland,1968,0.008123,64.9841821,-18.1059013
Austria,1968,0.022513,47.59397,14.12456
Russia,1968,0.022263,64.6863136,97.7453061
New Zealand,1968,0.016603,-41.5000831,172.8344077
England and Wales,1968,0.01583,51.5742454,-2.6999204
Hungary,1968,0.032414,47.1817585,19.5060937
France,1968,0.018042,46.603354,1.8883335
Netherlands,1968,0.011191,52.2434979,5.6343227
Ukraine,1968,0.01548,49.4871968,31.2718321
New Zealand -- Non-Maori,1968,0.015335,,
Luxembourg,1968,0.016511,49.8158683,6.1296751
Denmark,1968,0.013703,55.670249,10.3333283
The United States of America,1968,0.019456,35.4202289,-78.0254279
East Germany,1968,0.017553,43.0439394,-87.9081981
Latvia,1968,0.016281,56.8406494,24.7537645
Japan,1968,0.013349,36.5748441,139.2394179
Sweden,1968,0.010967,59.6749712,14.5208584
England and Wales,1968,0.01583,51.5742454,-2.6999204
Finland,1968,0.011771,63.2467777,25.9209164
Czechia,1968,0.018504,49.7439047,15.3381061
Italy,1968,0.029337,42.6384261,12.674297
Bulgaria,1968,0.027991,42.6073975,25.4856617
Estonia,1968,0.017551,58.7523778,25.3319078
Slovakia,1968,0.019668,48.7411522,19.4528646
Ireland,1968,0.019752,52.865196,-7.9794599
France,1968,0.018042,46.603354,1.8883335
Canada,1968,0.018605,61.0666922,-107.991707
