Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1876,0.110005,50.6402809,4.6667145
Switzerland,1876,0.226663,46.7985624,8.2319736
Norway,1876,0.100078,61.1529386,8.7876653
Scotland,1876,0.11982,56.7861112,-4.1140518
Iceland,1876,0.200307,64.9841821,-18.1059013
England and Wales,1876,0.147236,51.5742454,-2.6999204
France,1876,0.160168,46.603354,1.8883335
Netherlands,1876,0.229483,52.2434979,5.6343227
Denmark,1876,0.146429,55.670249,10.3333283
Sweden,1876,0.143541,59.6749712,14.5208584
England and Wales,1876,0.147236,51.5742454,-2.6999204
Italy,1876,0.223739,42.6384261,12.674297
France,1876,0.160168,46.603354,1.8883335
