Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1891,0.172261,50.6402809,4.6667145
Switzerland,1891,0.164276,46.7985624,8.2319736
Norway,1891,0.086948,61.1529386,8.7876653
Scotland,1891,0.128774,56.7861112,-4.1140518
Iceland,1891,0.177184,64.9841821,-18.1059013
England and Wales,1891,0.147076,51.5742454,-2.6999204
France,1891,0.154676,46.603354,1.8883335
Netherlands,1891,0.187497,52.2434979,5.6343227
Denmark,1891,0.134183,55.670249,10.3333283
Sweden,1891,0.104142,59.6749712,14.5208584
England and Wales,1891,0.147076,51.5742454,-2.6999204
Finland,1891,0.138808,63.2467777,25.9209164
Italy,1891,0.199953,42.6384261,12.674297
France,1891,0.154676,46.603354,1.8883335
