Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1911,0.171734,50.6402809,4.6667145
Switzerland,1911,0.116685,46.7985624,8.2319736
Norway,1911,0.054261,61.1529386,8.7876653
Scotland,1911,0.108462,56.7861112,-4.1140518
Spain,1911,0.185131,39.3260685,-4.8379791
Iceland,1911,0.077238,64.9841821,-18.1059013
England and Wales,1911,0.12725,51.5742454,-2.6999204
France,1911,0.155688,46.603354,1.8883335
Netherlands,1911,0.144838,52.2434979,5.6343227
New Zealand -- Non-Maori,1911,0.050528,,
Denmark,1911,0.099757,55.670249,10.3333283
Sweden,1911,0.066352,59.6749712,14.5208584
England and Wales,1911,0.12725,51.5742454,-2.6999204
Finland,1911,0.109633,63.2467777,25.9209164
Italy,1911,0.164569,42.6384261,12.674297
France,1911,0.155688,46.603354,1.8883335
