Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1943,0.136143,39.6621648,-8.1353519
United Kingdom,1943,0.047858,54.7023545,-3.2765753
Belgium,1943,0.073018,50.6402809,4.6667145
Switzerland,1943,0.035799,46.7985624,8.2319736
Norway,1943,0.030305,61.1529386,8.7876653
Australia,1943,0.034696,-24.7761086,134.755
Scotland,1943,0.061292,56.7861112,-4.1140518
Spain,1943,0.10934,39.3260685,-4.8379791
Northern Ireland,1943,0.073949,54.5859836,-6.9591554
Iceland,1943,0.030628,64.9841821,-18.1059013
England and Wales,1943,0.044956,51.5742454,-2.6999204
France,1943,0.075645,46.603354,1.8883335
Netherlands,1943,0.038881,52.2434979,5.6343227
New Zealand -- Non-Maori,1943,0.025821,,
Denmark,1943,0.040042,55.670249,10.3333283
The United States of America,1943,0.039437,35.4202289,-78.0254279
Sweden,1943,0.026142,59.6749712,14.5208584
England and Wales,1943,0.044956,51.5742454,-2.6999204
Finland,1943,0.049554,63.2467777,25.9209164
Italy,1943,0.113167,42.6384261,12.674297
France,1943,0.07563,46.603354,1.8883335
Canada,1943,0.052923,61.0666922,-107.991707
