Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1873,0.141495,50.6402809,4.6667145
Norway,1873,0.095343,61.1529386,8.7876653
Scotland,1873,0.123465,56.7861112,-4.1140518
Iceland,1873,0.20424,64.9841821,-18.1059013
England and Wales,1873,0.146528,51.5742454,-2.6999204
France,1873,0.181313,46.603354,1.8883335
Netherlands,1873,0.231307,52.2434979,5.6343227
Denmark,1873,0.123857,55.670249,10.3333283
Sweden,1873,0.13311,59.6749712,14.5208584
England and Wales,1873,0.146528,51.5742454,-2.6999204
Italy,1873,0.230504,42.6384261,12.674297
France,1873,0.181313,46.603354,1.8883335
