Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1887,0.154986,50.6402809,4.6667145
Switzerland,1887,0.166309,46.7985624,8.2319736
Norway,1887,0.08049,61.1529386,8.7876653
Scotland,1887,0.118673,56.7861112,-4.1140518
Iceland,1887,0.165334,64.9841821,-18.1059013
England and Wales,1887,0.141466,51.5742454,-2.6999204
France,1887,0.161604,46.603354,1.8883335
Netherlands,1887,0.179086,52.2434979,5.6343227
Denmark,1887,0.130516,55.670249,10.3333283
Sweden,1887,0.100519,59.6749712,14.5208584
England and Wales,1887,0.141466,51.5742454,-2.6999204
Finland,1887,0.136207,63.2467777,25.9209164
Italy,1887,0.214279,42.6384261,12.674297
France,1887,0.161604,46.603354,1.8883335
