Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2007,0.003317,39.6621648,-8.1353519
Greece,2007,0.003319,38.9953683,21.9877132
Belarus,2007,0.004674,53.4250605,27.6971358
United Kingdom,2007,0.004393,54.7023545,-3.2765753
Poland,2007,0.005289,52.215933,19.134422
Belgium,2007,0.003453,50.6402809,4.6667145
Switzerland,2007,0.003942,46.7985624,8.2319736
West Germany,2007,0.003603,40.4203479,-79.1166983
Norway,2007,0.002903,61.1529386,8.7876653
Australia,2007,0.003943,-24.7761086,134.755
Scotland,2007,0.004221,56.7861112,-4.1140518
Lithuania,2007,0.006552,55.3500003,23.7499997
Hong Kong,2007,0.002848,22.2793278,114.1628131
New Zealand -- Maori,2007,0.006148,-41.2086794,174.8683301
Spain,2007,0.003224,39.3260685,-4.8379791
Croatia,2007,0.006113,45.3658443,15.6575209
Israel,2007,0.003734,30.8124247,34.8594762
Northern Ireland,2007,0.004548,54.5859836,-6.9591554
Iceland,2007,0.00092,64.9841821,-18.1059013
Austria,2007,0.003254,47.59397,14.12456
Russia,2007,0.008515,64.6863136,97.7453061
New Zealand,2007,0.004671,-41.5000831,172.8344077
England and Wales,2007,0.004402,51.5742454,-2.6999204
Taiwan,2007,0.004823,23.9739374,120.9820179
Hungary,2007,0.005609,47.1817585,19.5060937
France,2007,0.003118,46.603354,1.8883335
Netherlands,2007,0.003376,52.2434979,5.6343227
Ukraine,2007,0.009485,49.4871968,31.2718321
Germany,2007,0.00346,51.1638175,10.4478313
New Zealand -- Non-Maori,2007,0.004115,,
Luxembourg,2007,0.00074,49.8158683,6.1296751
Denmark,2007,0.00337,55.670249,10.3333283
The United States of America,2007,0.006358,35.4202289,-78.0254279
East Germany,2007,0.00272,43.0439394,-87.9081981
Latvia,2007,0.009196,56.8406494,24.7537645
Japan,2007,0.002451,36.5748441,139.2394179
Sweden,2007,0.002315,59.6749712,14.5208584
Chile,2007,0.007478,-31.7613365,-71.3187697
England and Wales,2007,0.004402,51.5742454,-2.6999204
Finland,2007,0.002364,63.2467777,25.9209164
Czechia,2007,0.002644,49.7439047,15.3381061
Italy,2007,0.003079,42.6384261,12.674297
Republic of Korea,2007,0.003585,36.638392,127.6961188
Slovenia,2007,0.00297,46.1199444,14.8153333
Bulgaria,2007,0.00849,42.6073975,25.4856617
Estonia,2007,0.005038,58.7523778,25.3319078
Slovakia,2007,0.005503,48.7411522,19.4528646
Ireland,2007,0.003186,52.865196,-7.9794599
France,2007,0.003118,46.603354,1.8883335
Canada,2007,0.004782,61.0666922,-107.991707
