Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1892,0.175487,50.6402809,4.6667145
Switzerland,1892,0.145964,46.7985624,8.2319736
Norway,1892,0.089786,61.1529386,8.7876653
Scotland,1892,0.11615,56.7861112,-4.1140518
Iceland,1892,0.097143,64.9841821,-18.1059013
England and Wales,1892,0.144294,51.5742454,-2.6999204
France,1892,0.18154,46.603354,1.8883335
Netherlands,1892,0.18606,52.2434979,5.6343227
Denmark,1892,0.131081,55.670249,10.3333283
Sweden,1892,0.101836,59.6749712,14.5208584
England and Wales,1892,0.144294,51.5742454,-2.6999204
Finland,1892,0.153679,63.2467777,25.9209164
Italy,1892,0.195801,42.6384261,12.674297
France,1892,0.18154,46.603354,1.8883335
