Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2017,0.002229,39.6621648,-8.1353519
Greece,2017,0.003232,38.9953683,21.9877132
Belarus,2017,0.002831,53.4250605,27.6971358
United Kingdom,2017,0.003517,54.7023545,-3.2765753
Poland,2017,0.003679,52.215933,19.134422
Belgium,2017,0.003195,50.6402809,4.6667145
Switzerland,2017,0.003153,46.7985624,8.2319736
West Germany,2017,0.003041,40.4203479,-79.1166983
Norway,2017,0.002244,61.1529386,8.7876653
Australia,2017,0.00312,-24.7761086,134.755
Scotland,2017,0.002839,56.7861112,-4.1140518
Lithuania,2017,0.002796,55.3500003,23.7499997
Hong Kong,2017,0.001882,22.2793278,114.1628131
Spain,2017,0.002378,39.3260685,-4.8379791
Croatia,2017,0.003259,45.3658443,15.6575209
Northern Ireland,2017,0.003715,54.5859836,-6.9591554
Iceland,2017,0.00304,64.9841821,-18.1059013
Austria,2017,0.002841,47.59397,14.12456
New Zealand,2017,0.003697,-41.5000831,172.8344077
England and Wales,2017,0.003563,51.5742454,-2.6999204
Taiwan,2017,0.003962,23.9739374,120.9820179
Hungary,2017,0.003089,47.1817585,19.5060937
France,2017,0.003491,46.603354,1.8883335
Netherlands,2017,0.003131,52.2434979,5.6343227
Germany,2017,0.002973,51.1638175,10.4478313
Luxembourg,2017,0.00165,49.8158683,6.1296751
Denmark,2017,0.003254,55.670249,10.3333283
The United States of America,2017,0.005192,35.4202289,-78.0254279
East Germany,2017,0.002683,43.0439394,-87.9081981
Latvia,2017,0.003534,56.8406494,24.7537645
Japan,2017,0.001788,36.5748441,139.2394179
Sweden,2017,0.002301,59.6749712,14.5208584
Chile,2017,0.006607,-31.7613365,-71.3187697
England and Wales,2017,0.003563,51.5742454,-2.6999204
Finland,2017,0.001853,63.2467777,25.9209164
Czechia,2017,0.002195,49.7439047,15.3381061
Italy,2017,0.002678,42.6384261,12.674297
Republic of Korea,2017,0.002407,36.638392,127.6961188
Slovenia,2017,0.002133,46.1199444,14.8153333
Bulgaria,2017,0.005765,42.6073975,25.4856617
Estonia,2017,0.001829,58.7523778,25.3319078
Slovakia,2017,0.003759,48.7411522,19.4528646
Ireland,2017,0.003182,52.865196,-7.9794599
France,2017,0.003491,46.603354,1.8883335
Canada,2017,0.004213,61.0666922,-107.991707
