Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1895,0.180098,50.6402809,4.6667145
Switzerland,1895,0.156119,46.7985624,8.2319736
Norway,1895,0.085136,61.1529386,8.7876653
Scotland,1895,0.128895,56.7861112,-4.1140518
Iceland,1895,0.134653,64.9841821,-18.1059013
England and Wales,1895,0.159851,51.5742454,-2.6999204
France,1895,0.16349,46.603354,1.8883335
Netherlands,1895,0.182676,52.2434979,5.6343227
Denmark,1895,0.133207,55.670249,10.3333283
Sweden,1895,0.092186,59.6749712,14.5208584
England and Wales,1895,0.159851,51.5742454,-2.6999204
Finland,1895,0.119583,63.2467777,25.9209164
Italy,1895,0.196161,42.6384261,12.674297
France,1895,0.16349,46.603354,1.8883335
