Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,2019,0.002602,39.6621648,-8.1353519
Greece,2019,0.003603,38.9953683,21.9877132
United Kingdom,2019,0.003492,54.7023545,-3.2765753
Poland,2019,0.003669,52.215933,19.134422
Belgium,2019,0.003192,50.6402809,4.6667145
Switzerland,2019,0.003212,46.7985624,8.2319736
West Germany,2019,0.003062,40.4203479,-79.1166983
Norway,2019,0.00168,61.1529386,8.7876653
Australia,2019,0.002865,-24.7761086,134.755
Scotland,2019,0.002471,56.7861112,-4.1140518
Lithuania,2019,0.00258,55.3500003,23.7499997
Hong Kong,2019,0.001463,22.2793278,114.1628131
Spain,2019,0.002331,39.3260685,-4.8379791
Croatia,2019,0.003554,45.3658443,15.6575209
Northern Ireland,2019,0.004531,54.5859836,-6.9591554
Iceland,2019,0.000476,64.9841821,-18.1059013
Austria,2019,0.002579,47.59397,14.12456
New Zealand,2019,0.004342,-41.5000831,172.8344077
England and Wales,2019,0.003536,51.5742454,-2.6999204
Taiwan,2019,0.003623,23.9739374,120.9820179
Hungary,2019,0.003197,47.1817585,19.5060937
France,2019,0.003314,46.603354,1.8883335
Netherlands,2019,0.003335,52.2434979,5.6343227
Germany,2019,0.002901,51.1638175,10.4478313
Luxembourg,2019,0.002889,49.8158683,6.1296751
Denmark,2019,0.002487,55.670249,10.3333283
The United States of America,2019,0.005026,35.4202289,-78.0254279
East Germany,2019,0.002166,43.0439394,-87.9081981
Latvia,2019,0.003434,56.8406494,24.7537645
Japan,2019,0.00177,36.5748441,139.2394179
Sweden,2019,0.001859,59.6749712,14.5208584
Chile,2019,0.005643,-31.7613365,-71.3187697
England and Wales,2019,0.003543,51.5742454,-2.6999204
Finland,2019,0.00186,63.2467777,25.9209164
Czechia,2019,0.002233,49.7439047,15.3381061
Italy,2019,0.002322,42.6384261,12.674297
Republic of Korea,2019,0.002399,36.638392,127.6961188
Slovenia,2019,0.00161,46.1199444,14.8153333
Bulgaria,2019,0.005045,42.6073975,25.4856617
Estonia,2019,0.000868,58.7523778,25.3319078
Slovakia,2019,0.004452,48.7411522,19.4528646
Ireland,2019,0.002904,52.865196,-7.9794599
France,2019,0.003314,46.603354,1.8883335
Canada,2019,0.00392,61.0666922,-107.991707
