Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1995,0.006549,39.6621648,-8.1353519
Greece,1995,0.007188,38.9953683,21.9877132
Belarus,1995,0.010696,53.4250605,27.6971358
United Kingdom,1995,0.005406,54.7023545,-3.2765753
Poland,1995,0.011954,52.215933,19.134422
Belgium,1995,0.004686,50.6402809,4.6667145
Switzerland,1995,0.004472,46.7985624,8.2319736
West Germany,1995,0.004598,40.4203479,-79.1166983
Norway,1995,0.00314,61.1529386,8.7876653
Australia,1995,0.005119,-24.7761086,134.755
Scotland,1995,0.006036,56.7861112,-4.1140518
Lithuania,1995,0.011058,55.3500003,23.7499997
Hong Kong,1995,0.004347,22.2793278,114.1628131
New Zealand -- Maori,1995,0.012703,-41.2086794,174.8683301
Spain,1995,0.005071,39.3260685,-4.8379791
Israel,1995,0.006168,30.8124247,34.8594762
Northern Ireland,1995,0.006497,54.5859836,-6.9591554
Iceland,1995,0.004749,64.9841821,-18.1059013
Austria,1995,0.00483,47.59397,14.12456
Russia,1995,0.015429,64.6863136,97.7453061
New Zealand,1995,0.006366,-41.5000831,172.8344077
England and Wales,1995,0.005307,51.5742454,-2.6999204
Taiwan,1995,0.006689,23.9739374,120.9820179
Hungary,1995,0.009333,47.1817585,19.5060937
France,1995,0.004469,46.603354,1.8883335
Netherlands,1995,0.004577,52.2434979,5.6343227
Ukraine,1995,0.012812,49.4871968,31.2718321
Germany,1995,0.004654,51.1638175,10.4478313
New Zealand -- Non-Maori,1995,0.005538,,
Luxembourg,1995,0.006368,49.8158683,6.1296751
Denmark,1995,0.004454,55.670249,10.3333283
The United States of America,1995,0.007025,35.4202289,-78.0254279
East Germany,1995,0.00513,43.0439394,-87.9081981
Latvia,1995,0.016007,56.8406494,24.7537645
Japan,1995,0.003812,36.5748441,139.2394179
Sweden,1995,0.003417,59.6749712,14.5208584
Chile,1995,0.010515,-31.7613365,-71.3187697
England and Wales,1995,0.005307,51.5742454,-2.6999204
Finland,1995,0.003489,63.2467777,25.9209164
Czechia,1995,0.006223,49.7439047,15.3381061
Italy,1995,0.005365,42.6384261,12.674297
Slovenia,1995,0.005042,46.1199444,14.8153333
Bulgaria,1995,0.012574,42.6073975,25.4856617
Estonia,1995,0.012978,58.7523778,25.3319078
Slovakia,1995,0.009303,48.7411522,19.4528646
Ireland,1995,0.005791,52.865196,-7.9794599
France,1995,0.004469,46.603354,1.8883335
Canada,1995,0.005464,61.0666922,-107.991707
