Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1889,0.169714,50.6402809,4.6667145
Switzerland,1889,0.160575,46.7985624,8.2319736
Norway,1889,0.098577,61.1529386,8.7876653
Scotland,1889,0.117829,56.7861112,-4.1140518
Iceland,1889,0.106317,64.9841821,-18.1059013
England and Wales,1889,0.141373,51.5742454,-2.6999204
France,1889,0.155437,46.603354,1.8883335
Netherlands,1889,0.192316,52.2434979,5.6343227
Denmark,1889,0.140818,55.670249,10.3333283
Sweden,1889,0.10455,59.6749712,14.5208584
England and Wales,1889,0.141373,51.5742454,-2.6999204
Finland,1889,0.139491,63.2467777,25.9209164
Italy,1889,0.199671,42.6384261,12.674297
France,1889,0.155437,46.603354,1.8883335
