Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1956,0.084828,39.6621648,-8.1353519
United Kingdom,1956,0.02183,54.7023545,-3.2765753
Belgium,1956,0.03427,50.6402809,4.6667145
Switzerland,1956,0.02286,46.7985624,8.2319736
West Germany,1956,0.036081,40.4203479,-79.1166983
Norway,1956,0.016898,61.1529386,8.7876653
Australia,1956,0.02007,-24.7761086,134.755
Scotland,1956,0.025418,56.7861112,-4.1140518
New Zealand -- Maori,1956,0.051119,-41.2086794,174.8683301
Spain,1956,0.049064,39.3260685,-4.8379791
Northern Ireland,1956,0.027598,54.5859836,-6.9591554
Iceland,1956,0.017048,64.9841821,-18.1059013
Austria,1956,0.039702,47.59397,14.12456
New Zealand,1956,0.021704,-41.5000831,172.8344077
England and Wales,1956,0.0211,51.5742454,-2.6999204
Hungary,1956,0.052742,47.1817585,19.5060937
France,1956,0.031815,46.603354,1.8883335
Netherlands,1956,0.016853,52.2434979,5.6343227
New Zealand -- Non-Maori,1956,0.018179,,
Denmark,1956,0.020881,55.670249,10.3333283
The United States of America,1956,0.02414,35.4202289,-78.0254279
East Germany,1956,0.041286,43.0439394,-87.9081981
Japan,1956,0.037714,36.5748441,139.2394179
Sweden,1956,0.015637,59.6749712,14.5208584
England and Wales,1956,0.0211,51.5742454,-2.6999204
Finland,1956,0.023046,63.2467777,25.9209164
Czechia,1956,0.022974,49.7439047,15.3381061
Italy,1956,0.046279,42.6384261,12.674297
Bulgaria,1956,0.068706,42.6073975,25.4856617
Slovakia,1956,0.036446,48.7411522,19.4528646
Ireland,1956,0.031327,52.865196,-7.9794599
France,1956,0.031815,46.603354,1.8883335
Canada,1956,0.032348,61.0666922,-107.991707
