Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1903,0.157675,50.6402809,4.6667145
Switzerland,1903,0.129966,46.7985624,8.2319736
Norway,1903,0.067009,61.1529386,8.7876653
Scotland,1903,0.111942,56.7861112,-4.1140518
Iceland,1903,0.139579,64.9841821,-18.1059013
England and Wales,1903,0.128103,51.5742454,-2.6999204
France,1903,0.14026,46.603354,1.8883335
Netherlands,1903,0.145227,52.2434979,5.6343227
New Zealand -- Non-Maori,1903,0.080763,,
Denmark,1903,0.110701,55.670249,10.3333283
Sweden,1903,0.085882,59.6749712,14.5208584
England and Wales,1903,0.128103,51.5742454,-2.6999204
Finland,1903,0.123491,63.2467777,25.9209164
Italy,1903,0.176484,42.6384261,12.674297
France,1903,0.14026,46.603354,1.8883335
