Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1890,0.174101,50.6402809,4.6667145
Switzerland,1890,0.152273,46.7985624,8.2319736
Norway,1890,0.088135,61.1529386,8.7876653
Scotland,1890,0.130929,56.7861112,-4.1140518
Iceland,1890,0.242123,64.9841821,-18.1059013
England and Wales,1890,0.144958,51.5742454,-2.6999204
France,1890,0.16247,46.603354,1.8883335
Netherlands,1890,0.186843,52.2434979,5.6343227
Denmark,1890,0.133922,55.670249,10.3333283
Sweden,1890,0.100569,59.6749712,14.5208584
England and Wales,1890,0.144958,51.5742454,-2.6999204
Finland,1890,0.133617,63.2467777,25.9209164
Italy,1890,0.204954,42.6384261,12.674297
France,1890,0.16247,46.603354,1.8883335
