Country,Year,Female Baby Death Rate,Latitude,Longitude
West Germany,1989,0.006395,40.4203479,-79.1166983
Norway,1989,0.007019,61.1529386,8.7876653
Australia,1989,0.007566,-24.7761086,134.755
Scotland,1989,0.007097,56.7861112,-4.1140518
Lithuania,1989,0.009481,55.3500003,23.7499997
Hong Kong,1989,0.006365,22.2793278,114.1628131
New Zealand -- Maori,1989,0.009369,-41.2086794,174.8683301
Spain,1989,0.006952,39.3260685,-4.8379791
Israel,1989,0.009683,30.8124247,34.8594762
Northern Ireland,1989,0.006223,54.5859836,-6.9591554
Iceland,1989,0.005369,64.9841821,-18.1059013
Austria,1989,0.007506,47.59397,14.12456
Russia,1989,0.014749,64.6863136,97.7453061
New Zealand,1989,0.008849,-41.5000831,172.8344077
England and Wales,1989,0.00734,51.5742454,-2.6999204
Taiwan,1989,0.005898,23.9739374,120.9820179
Hungary,1989,0.014423,47.1817585,19.5060937
France,1989,0.006491,46.603354,1.8883335
Netherlands,1989,0.005985,52.2434979,5.6343227
Ukraine,1989,0.01054,49.4871968,31.2718321
New Zealand -- Non-Maori,1989,0.008719,,
Luxembourg,1989,0.009125,49.8158683,6.1296751
Denmark,1989,0.006975,55.670249,10.3333283
The United States of America,1989,0.009269,35.4202289,-78.0254279
East Germany,1989,0.005987,43.0439394,-87.9081981
Latvia,1989,0.008733,56.8406494,24.7537645
Japan,1989,0.004185,36.5748441,139.2394179
Sweden,1989,0.005038,59.6749712,14.5208584
England and Wales,1989,0.00734,51.5742454,-2.6999204
Finland,1989,0.005415,63.2467777,25.9209164
Czechia,1989,0.008044,49.7439047,15.3381061
Italy,1989,0.007895,42.6384261,12.674297
Slovenia,1989,0.007547,46.1199444,14.8153333
Bulgaria,1989,0.012242,42.6073975,25.4856617
Estonia,1989,0.011811,58.7523778,25.3319078
Slovakia,1989,0.01201,48.7411522,19.4528646
Ireland,1989,0.006731,52.865196,-7.9794599
France,1989,0.006491,46.603354,1.8883335
Canada,1989,0.006336,61.0666922,-107.991707
Sweden,1751,0.212235,59.6749712,14.5208584
Sweden,1779,0.238064,59.6749712,14.5208584
Sweden,1802,0.205791,59.6749712,14.5208584
France,1816,0.186986,46.603354,1.8883335
Sweden,1816,0.199723,59.6749712,14.5208584
France,1816,0.186986,46.603354,1.8883335
Sweden,1800,0.256001,59.6749712,14.5208584
Sweden,1814,0.189951,59.6749712,14.5208584
France,1828,0.192681,46.603354,1.8883335
Sweden,1828,0.182638,59.6749712,14.5208584
France,1828,0.192681,46.603354,1.8883335
Sweden,1753,0.211523,59.6749712,14.5208584
Portugal,1974,0.034172,39.6621648,-8.1353519
Belarus,1974,0.014694,53.4250605,27.6971358
United Kingdom,1974,0.014363,54.7023545,-3.2765753
Poland,1974,0.024859,52.215933,19.134422
Belgium,1974,0.014787,50.6402809,4.6667145
Switzerland,1974,0.010572,46.7985624,8.2319736
West Germany,1974,0.018301,40.4203479,-79.1166983
Norway,1974,0.007972,61.1529386,8.7876653
Australia,1974,0.01337,-24.7761086,134.755
Scotland,1974,0.016935,56.7861112,-4.1140518
Lithuania,1974,0.016446,55.3500003,23.7499997
New Zealand -- Maori,1974,0.01665,-41.2086794,174.8683301
Spain,1974,0.017919,39.3260685,-4.8379791
Northern Ireland,1974,0.020264,54.5859836,-6.9591554
Iceland,1974,0.008569,64.9841821,-18.1059013
Austria,1974,0.019893,47.59397,14.12456
Russia,1974,0.018816,64.6863136,97.7453061
New Zealand,1974,0.012617,-41.5000831,172.8344077
England and Wales,1974,0.013829,51.5742454,-2.6999204
Taiwan,1974,0.012218,23.9739374,120.9820179
Hungary,1974,0.034973,47.1817585,19.5060937
France,1974,0.012514,46.603354,1.8883335
Netherlands,1974,0.009552,52.2434979,5.6343227
Ukraine,1974,0.0158,49.4871968,31.2718321
New Zealand -- Non-Maori,1974,0.012065,,
Luxembourg,1974,0.008828,49.8158683,6.1296751
Denmark,1974,0.008846,55.670249,10.3333283
The United States of America,1974,0.014905,35.4202289,-78.0254279
East Germany,1974,0.013245,43.0439394,-87.9081981
Latvia,1974,0.016224,56.8406494,24.7537645
Japan,1974,0.009326,36.5748441,139.2394179
Sweden,1974,0.008533,59.6749712,14.5208584
England and Wales,1974,0.013829,51.5742454,-2.6999204
Finland,1974,0.010147,63.2467777,25.9209164
Czechia,1974,0.017318,49.7439047,15.3381061
Italy,1974,0.020588,42.6384261,12.674297
Bulgaria,1974,0.023212,42.6073975,25.4856617
Estonia,1974,0.016362,58.7523778,25.3319078
Slovakia,1974,0.020179,48.7411522,19.4528646
Ireland,1974,0.014881,52.865196,-7.9794599
France,1974,0.012514,46.603354,1.8883335
Canada,1974,0.013573,61.0666922,-107.991707
Portugal,1960,0.079322,39.6621648,-8.1353519
Belarus,1960,0.031324,53.4250605,27.6971358
United Kingdom,1960,0.020448,54.7023545,-3.2765753
Poland,1960,0.050357,52.215933,19.134422
Belgium,1960,0.026833,50.6402809,4.6667145
Switzerland,1960,0.018421,46.7985624,8.2319736
West Germany,1960,0.030634,40.4203479,-79.1166983
Norway,1960,0.015561,61.1529386,8.7876653
Australia,1960,0.017991,-24.7761086,134.755
Scotland,1960,0.024227,56.7861112,-4.1140518
Lithuania,1960,0.034791,55.3500003,23.7499997
New Zealand -- Maori,1960,0.03613,-41.2086794,174.8683301
Spain,1960,0.041183,39.3260685,-4.8379791
Northern Ireland,1960,0.025408,54.5859836,-6.9591554
Iceland,1960,0.009949,64.9841821,-18.1059013
Austria,1960,0.033784,47.59397,14.12456
Russia,1960,0.033418,64.6863136,97.7453061
New Zealand,1960,0.020148,-41.5000831,172.8344077
England and Wales,1960,0.019765,51.5742454,-2.6999204
Hungary,1960,0.042704,47.1817585,19.5060937
France,1960,0.023962,46.603354,1.8883335
Netherlands,1960,0.015137,52.2434979,5.6343227
Ukraine,1960,0.026691,49.4871968,31.2718321
New Zealand -- Non-Maori,1960,0.018059,,
Luxembourg,1960,0.023863,49.8158683,6.1296751
Denmark,1960,0.019674,55.670249,10.3333283
The United States of America,1960,0.023229,35.4202289,-78.0254279
East Germany,1960,0.034713,43.0439394,-87.9081981
Latvia,1960,0.023893,56.8406494,24.7537645
Japan,1960,0.028155,36.5748441,139.2394179
Sweden,1960,0.014226,59.6749712,14.5208584
England and Wales,1960,0.019765,51.5742454,-2.6999204
Finland,1960,0.018468,63.2467777,25.9209164
Czechia,1960,0.017052,49.7439047,15.3381061
Italy,1960,0.041331,42.6384261,12.674297
Bulgaria,1960,0.043461,42.6073975,25.4856617
Estonia,1960,0.026392,58.7523778,25.3319078
Slovakia,1960,0.026323,48.7411522,19.4528646
Ireland,1960,0.024962,52.865196,-7.9794599
France,1960,0.023962,46.603354,1.8883335
Canada,1960,0.024541,61.0666922,-107.991707
Portugal,1948,0.105168,39.6621648,-8.1353519
United Kingdom,1948,0.030527,54.7023545,-3.2765753
Belgium,1948,0.052906,50.6402809,4.6667145
